"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 16 06:32:36 CST 2020","Tue Jun 16 06:32:53 CST 2020","17368","test_case","test_trade","TestTrade","","","test_open_hs",""
"broken","Tue Jun 16 06:32:03 CST 2020","Tue Jun 16 06:32:24 CST 2020","20891","test_case","test_pre","Test_Pre","","","test_big",""
"broken","Tue Jun 16 06:30:51 CST 2020","Tue Jun 16 06:31:52 CST 2020","60987","test_case","test_pre","Test_Pre","","","test_pre",""
